quaint adj.古雅的，离奇有趣的
shoddy adj.以次充好的
demolition n.破坏，毁坏，撤销
cram v.塞满，填满，猛吃
plumb n.铅锤，垂直
reek n.烟，水蒸气
urine n.小便，鸟
utensil n.器皿，用具
escort n.护送者，护卫者，巡洋舰
fetid adj.恶臭的
slum n.贫民窟
squalor n.肮脏，贫穷
languish v.憔悴，凋萎
engulf v.卷入，吸进，吞没
idyllic adj.田园诗的，牧歌的
straw n.稻草，吸管
congregate v.聚合，聚集
awe n.敬畏
rally n.重振旗鼓，集合
tiptoe n.脚尖
spooky adj.幽灵一般的，吓人的
rivet n.铆钉
agitate v.摇动，激动
lethal adj.致命的
quilt n.棉被
tugging n.牵引感
collusion n.共谋，勾结
rendezvous n.约会，约会地点
throe n.剧痛，阵痛
savor n.风味，滋味
stash v.藏起来
distraught adj.烦恼的
mourner n.悲伤者，送葬者
sob v.啜泣，呜咽
superstitious adj.迷信的
ascend v.上升，追述，登高
prophet n.语言家，先知
prosecute v.告发，起诉
reprieve n.缓刑，暂缓
wee adj.很小很小的
pubic adj.阴部的，耻骨的
deprave v.使堕落，腐化
hooligan n.小流氓
jade n.玉，老马
rattle v.喋喋不休说
polygamy n.多配偶
cogent adj.使人首肯的，使人信服的
peril n.危险，险境
infiltrate v.渗透，透入
adrenalin n.肾上腺素
anthem n.圣歌，赞美诗
podium n.指挥台
peddler n.小贩，传播者
reticent adj.无言的，沉默的
stipend n.薪金，津贴
aura n.气氛，气质
mediocre adj.平常的，不好不坏的
cushy adj.舒适的，安逸的
conjure v.想象，召唤
desolate adj.荒凉的
bereft adj.缺少的，丧失的
villain n.坏人，恶棍
palpable adj.可感知的，明显的
haven n.安全的地方，避难所
vent v.发泄情感
informant n.提供消息或情报的人
engross v.全神贯注
feign v.假装 冒充
contraception n.避孕
ejaculate v.体外射精
devastate v.彻底破坏，毁灭
strain v.拉紧
surrogate n.代替物
grudge v.怨恨
appease v.使平息
grovel v.匍匐，低三下四
virility n.性能力
aloof a.远离的，冷淡的
penniless a.赤贫的，贫穷的
revelation n.揭露，泄露，发掘
lenient a.宽大的，温和的
deprecation n.反对
smite v.重击，打，击败
flummox v.使狼狈
porcelain n.瓷器
whim n.一时冲动，兴致
huff v.激怒，发怒
psyche n.灵魂，精神
ramification n.分支，分叉
deter v.制止，吓住
fervent a.热的，热心的
